,Chords,Notes,Degrees
85,Cdim7sus4,"['do', 'res', 'fas', 'do', 'mis', 'sol', 'las']","[1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0]"
86,Cdimmaj7sus4,"['do', 'res', 'fas', 'do', 'mis', 'sol', 'si']","[1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1]"
87,Cdimadd9,"['do', 'res', 'fas', 're']","[1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
88,Cdimadd11,"['do', 'res', 'fas', 'mis']","[1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]"
89,Cdimadd13,"['do', 'res', 'fas', 'la']","[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
90,Cdim11s,"['do', 'res', 'fas', 'las', 're', 'fas']","[1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0]"
91,Cdim11b9,"['do', 'res', 'fas', 'las', 'dos', 'mis']","[1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0]"
92,Cdimmajs911s,"['do', 'res', 'fas', 'si', 'res', 'fas']","[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
93,Cdimb711b9,"['do', 'res', 'fas', 'la', 'dos', 'mis']","[1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]"
94,Cdimmaj11,"['do', 'res', 'fas', 'si', 're', 'mis']","[1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]"
95,Cdimmaj911s,"['do', 'res', 'fas', 'si', 're', 'fas']","[1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
96,Cdim11,"['do', 'res', 'fas', 'las', 're', 'mis']","[1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0]"
97,Cdimb11b9,"['do', 'res', 'fas', 'las', 'dos', 'mi']","[1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0]"
98,Cdim13b11b9b,"['do', 'res', 'fas', 'las', 'dos', 'mi', 'sols']","[1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]"
99,Cdim13b9,"['do', 'res', 'fas', 'las', 'dos', 'mis', 'la']","[1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0]"
100,Cdim1311s,"['do', 'res', 'fas', 'las', 're', 'fas', 'la']","[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0]"
101,Cdim13b,"['do', 'res', 'fas', 'las', 're', 'mis', 'sols']","[1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0]"
102,Cdimmaj13b,"['do', 'res', 'fas', 'si', 're', 'mis', 'sols']","[1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1]"
103,Cdim13bb9,"['do', 'res', 'fas', 'las', 'dos', 'mis', 'sols']","[1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0]"
104,Cdimmaj13s911s,"['do', 'res', 'fas', 'si', 'res', 'fas', 'la']","[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1]"
105,Cdimb713b9,"['do', 'res', 'fas', 'la', 'dos', 'mis', 'sols']","[1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0]"
106,Cdimmaj13,"['do', 'res', 'fas', 'si', 're', 'mis', 'la']","[1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1]"
107,Cdimmaj1311s,"['do', 'res', 'fas', 'si', 're', 'fas', 'la']","[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1]"
108,Cdim13,"['do', 'res', 'fas', 'las', 're', 'mis', 'la']","[1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0]"
109,Cdim11b913b,"['do', 'res', 'fas', 'las', 'dos', 'mis', 'sols']","[1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0]"
110,Cdim1113b,"['do', 'res', 'fas', 'las', 're', 'mis', 'sols']","[1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0]"
111,Caug7,"['do', 'mi', 'sols', 'las']","[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]"
112,Caugmaj7,"['do', 'mi', 'sols', 'si']","[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
113,Caug9,"['do', 'mi', 'sols', 'las', 're']","[1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0]"
114,Caugmaj9,"['do', 'mi', 'sols', 'si', 're']","[1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
115,Caugmajs9,"['do', 'mi', 'sols', 'si', 'res']","[1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1]"
